시도,시군구,기준년도,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
시도,시군구,기준년도,제1종,제2종,연습면허,무면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음
서울,마포구,사망자수,1,0,-,1,0,2,1,-,0,0,-,0,0,-,1,-,0,0,0,-,0,-,-,-,3,2,-,1,-,-,-,3,1,-,0,0,-,1,0,-,0,-,-,-,0,0,-,0,-,-,0,0,0,-,0,0,-,0,0,0,-,0,-,-,0
서울,마포구,부상자수,221,94,-,12,1,231,84,-,12,1,-,268,140,-,19,-,1,240,111,-,13,-,-,-,254,122,-,16,-,-,-,196,123,-,11,3,-,210,120,-,6,-,-,-,201,76,-,12,-,-,3,134,62,-,13,1,-,1,123,39,-,3,-,-,1
서울,강서구,사고건수,103,44,-,17,-,104,46,-,11,-,-,108,41,-,9,-,-,103,41,-,6,-,-,-,106,41,-,7,-,-,-,88,34,1,3,-,2,89,25,1,7,-,-,-,87,40,-,9,-,-,1,68,34,-,4,-,-,4,77,34,-,5,-,-,4
서울,강서구,사망자수,1,0,-,0,-,1,0,-,0,-,-,1,0,-,0,-,-,0,1,-,0,-,-,-,0,1,-,0,-,-,-,0,2,0,0,-,0,0,1,0,0,-,-,-,1,0,-,1,-,-,0,0,0,-,0,-,-,0,0,0,-,0,-,-,0
서울,강서구,부상자수,211,75,-,25,-,188,75,-,20,-,-,201,61,-,22,-,-,185,62,-,32,-,-,-,193,67,-,8,-,-,-,148,48,1,5,-,3,170,40,1,12,-,-,-,172,79,-,13,-,-,1,105,50,-,7,-,-,4,111,58,-,8,-,-,4
서울,구로구,사고건수,137,40,1,15,-,132,56,-,21,-,-,116,46,-,13,-,-,106,42,-,9,-,-,-,114,40,-,10,-,-,-,70,43,-,6,-,-,76,36,-,7,-,-,-,73,37,-,9,-,-,-,64,35,-,4,-,-,-,73,40,-,6,-,-,-
서울,구로구,사망자수,2,1,0,0,-,5,0,-,0,-,-,0,0,-,0,-,-,1,0,-,0,-,-,-,2,0,-,0,-,-,-,0,0,-,0,-,-,1,1,-,0,-,-,-,1,1,-,0,-,-,-,1,0,-,0,-,-,-,0,1,-,0,-,-,-
서울,구로구,부상자수,224,76,1,27,-,245,104,-,36,-,-,227,74,-,21,-,-,183,70,-,13,-,-,-,199,62,-,19,-,-,-,129,71,-,10,-,-,132,65,-,11,-,-,-,124,73,-,15,-,-,-,114,58,-,5,-,-,-,142,59,-,6,-,-,-
서울,영등포구,사고건수,144,71,-,15,1,145,62,-,8,-,-,105,55,-,14,-,-,117,68,1,7,-,-,-,110,58,-,8,-,-,-,96,46,-,3,-,-,120,53,1,4,1,-,-,110,58,-,4,-,-,-,67,32,-,3,-,-,12,80,46,-,2,-,-,1
서울,영등포구,사망자수,1,0,-,0,0,0,0,-,0,-,-,0,1,-,0,-,-,0,0,0,0,-,-,-,1,2,-,0,-,-,-,3,1,-,0,-,-,3,1,0,0,0,-,-,1,0,-,0,-,-,-,1,0,-,0,-,-,0,1,0,-,0,-,-,0
