서울,동작구,사망자수,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
서울,동작구,부상자수,185,12,24,5,11,9,10,19,33,17,10,18,17,155,8,8,15,20,4,16,14,9,15,17,15,14,144,8,12,5,7,10,25,10,7,17,6,18,19,142,5,17,8,12,12,10,15,10,14,19,4,16
서울,관악구,사고건수,89,8,4,5,5,7,7,10,8,5,10,9,11,104,9,6,13,11,7,4,11,7,10,10,10,6,95,4,6,13,5,6,10,7,9,7,6,11,11,91,3,15,5,9,3,2,8,12,10,9,9,6
서울,관악구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
서울,관악구,부상자수,130,16,5,8,7,12,7,15,13,5,13,15,14,169,14,11,24,13,11,7,13,12,17,16,22,9,149,7,17,18,7,8,11,10,15,9,8,16,23,130,3,22,9,15,3,4,12,18,13,14,11,6
서울,강남구,사고건수,403,37,34,41,32,29,32,37,27,32,32,31,39,373,35,28,33,35,30,23,37,32,29,33,23,35,293,28,14,29,27,26,25,20,22,22,16,26,38,343,29,33,34,34,26,27,35,39,18,24,24,20
서울,강남구,사망자수,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0
서울,강남구,부상자수,692,76,59,70,52,55,46,50,54,50,61,51,68,677,90,51,62,59,41,44,58,69,54,57,41,51,523,61,18,51,45,46,53,40,35,30,21,59,64,614,54,61,57,68,44,40,60,76,36,49,32,37
서울,강동구,사고건수,96,7,16,9,8,10,9,3,7,7,5,8,7,99,3,8,10,13,7,12,12,6,6,5,8,9,64,3,2,6,2,5,8,8,3,5,7,7,8,63,4,3,4,4,9,6,5,8,7,4,5,4
서울,강동구,사망자수,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
